Cafe_Name,Cafe_Coordinates,Place_Id,Cafe_Types,Rating,Number_Ratings,Vicinity,Borough_Coordinates,lat,lng
Mel's Cafe,"51.57008980000001, 0.1839485",ChIJDbURO8yk2EcRXuerEHrAuxw,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,220,"Unit C8, Seedbed Centre, Essex","51.5607, 0.1557",51.57008980000001,0.1839485
Patisserie Valerie - Romford,"51.57655380000001, 0.179876",ChIJ5zHF98ik2EcRIHy8nGLOzRc,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3.9,687,"Pod 3 The Brewery, Waterloo Road, Romford","51.5607, 0.1557",51.57655380000001,0.179876
Costa Coffee,"51.577044, 0.179623",ChIJ3ZZSM8ik2EcRb_mKxIpJ1Gc,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.1,481,"Unit 1 The Brewery, Romford","51.5607, 0.1557",51.577044,0.179623
Cafe Chateau,"51.5788527, 0.1796929",ChIJ6d55Nbak2EcRHzo7VFfrkmI,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,151,"7-9 North Street, Romford","51.5607, 0.1557",51.5788527,0.1796929
Café Shot,"51.57203699999999, 0.1907102",ChIJWZiKoumk2EcR6oiARs03Iis,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.6,113,"78 Brentwood Road, Romford","51.5607, 0.1557",51.57203699999999,0.1907102
Costa Coffee,"51.5677842, 0.117121",ChIJ95BU_kek2EcRjE6XVfHFYXw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,565,"Unit 2A, Goodmayes Retail Park, High Road, Romford","51.5607, 0.1557",51.5677842,0.117121
Tea Pot Cafe Romford,"51.57987490000001, 0.1822641",ChIJ9cyXebak2EcRJeRja8SMOa0,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,91,"43A Market Place, Romford","51.5607, 0.1557",51.57987490000001,0.1822641
Caffe Della Continental,"51.57929710000001, 0.1852055",ChIJc_JIoLWk2EcR58mbBv-WHrM,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.0,235,"unit 36&37, Mercury Shopping Centre, Mercury Gardens, Romford","51.5607, 0.1557",51.57929710000001,0.1852055
bp,"51.6008685, -0.1750689",ChIJTYFDde8ZdkgR9KCXadpVz18,"['gas_station', 'atm', 'convenience_store', 'cafe', 'finance', 'point_of_interest', 'food', 'store', 'establishment']",3.9,49,"407 High Road, London","51.6252, -0.1517",51.6008685,-0.1750689
artsdepot,"51.61297440000001, -0.1768618",ChIJB_gqY-8ZdkgRU6aKu6Fdqfk,"['art_gallery', 'cafe', 'point_of_interest', 'food', 'establishment']",4.5,988,"5 Nether Street, London","51.6252, -0.1517",51.61297440000001,-0.1768618
"New River Sport, Tennis & Fitness","51.6046932, -0.09984350000000003",ChIJ_els_lMZdkgRSSLrKRSAxxY,"['cafe', 'bar', 'gym', 'health', 'point_of_interest', 'food', 'establishment']",3.9,151,"White Hart Lane, London","51.6252, -0.1517",51.6046932,-0.0998435
Sable D'Or,"51.5916559, -0.1430828",ChIJe8io5ywadkgRuYAsxazLI88,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.1,206,"249 Muswell Hill Broadway, London","51.6252, -0.1517",51.5916559,-0.1430828
Costa Coffee,"51.6309277, -0.1753933",ChIJ4Y0CjM8ZdkgR-S2eowdOLWE,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",3.9,288,"1287 High Road, London","51.6252, -0.1517",51.6309277,-0.1753933
Costa Coffee,"51.58895769999999, -0.1637612",ChIJacjKtiIadkgRfU5V88DMpew,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.0,285,"62-64 High Road, London","51.6252, -0.1517",51.58895769999999,-0.1637612
Costa Coffee,"51.5914856, -0.1424424",ChIJOUm63iwadkgRwG_lEUctXlo,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.1,314,"376 Muswell Hill Broadway, London","51.6252, -0.1517",51.5914856,-0.1424424
Costa Coffee,"51.607269, -0.157001",ChIJH_fo_o4ZdkgRHJ1nb4BaGOQ,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.0,42,"Coppetts Centre, North Circular Road, London","51.6252, -0.1517",51.607269,-0.157001
Oak Caffe,"51.6299675, -0.174411",ChIJwauucMUZdkgRz414hwIbOfs,"['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.5,484,"1 Oakleigh Road North, London","51.6252, -0.1517",51.6299675,-0.174411
Cafe Brunello's,"51.6311784, -0.0963743",ChIJl8UkZS0ZdkgRWpC9V9_jxyQ,"['cafe', 'point_of_interest', 'food', 'establishment']",4.7,198,"729 Green Lanes, London","51.6252, -0.1517",51.6311784,-0.0963743
Aroma Patisserie,"51.62220569999999, -0.1050254",ChIJlY7w3UQZdkgRaE1gxX-VUIA,"['bakery', 'cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.6,441,"424-426 Green Lanes, London","51.6252, -0.1517",51.62220569999999,-0.1050254
Sunshine Garden Cafe,"51.64990269999999, -0.171376",ChIJo4ajzTAYdkgRn_gi8BQlMFM,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,42,"41 East Barnet Road, Barnet","51.6252, -0.1517",51.64990269999999,-0.171376
Vero Caffe,"51.61498559999999, -0.1909997",ChIJBRutLV8XdkgRnRZvEHzi_H0,"['cafe', 'point_of_interest', 'food', 'establishment']",4.2,403,"16 Sussex Ring, London","51.6252, -0.1517",51.61498559999999,-0.1909997
Em's Coffee,"51.6322231, -0.1752574",ChIJ04O-vs8ZdkgRXhviichG68M,"['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.2,368,"1336 High Road, London","51.6252, -0.1517",51.6322231,-0.1752574
Xpress Coffee,"51.6377146, -0.1663405",ChIJWzl2D8sZdkgRn6OTL_F81hg,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.8,5,"Oakliegh Park Station,Platform, 1 Netherlands Road, Barnet","51.6252, -0.1517",51.6377146,-0.1663405
My Time Delicatessen,"51.6194532, -0.1073493",ChIJY8nh7UcZdkgRGG-KBAMnM1w,"['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.7,110,"375 Green Lanes, London","51.6252, -0.1517",51.6194532,-0.1073493
Cibo Bar Cafeteria,"51.6237631, -0.1227088",ChIJaakfbBQZdkgRWdTh_OG_GT8,"['cafe', 'point_of_interest', 'food', 'establishment']",4.5,149,"28 Cannon Hill, London","51.6252, -0.1517",51.6237631,-0.1227088
The Cookie,"51.6474255, -0.1321265",ChIJTy0AbfsYdkgRAuDOqHjfIdw,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.7,43,"123 Bramley Road, London","51.6252, -0.1517",51.6474255,-0.1321265
Pots of Art,"51.6261468, -0.163929",ChIJKRW7ubgZdkgRkVY2INArxxo,"['cafe', 'point_of_interest', 'food', 'establishment']",4.0,2,"Tudor Grove, Church Crescent, London","51.6252, -0.1517",51.6261468,-0.163929
Oak Hill Park Cafe,"51.63460560000001, -0.1526013",ChIJq2c410oYdkgREmElQfJjAmo,"['cafe', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.1,405,"Oak Hill Park Cafe, Parkside Gardens, Barnet","51.6252, -0.1517",51.63460560000001,-0.1526013
bp,"51.47278499999999, 0.1625922",ChIJDSRYM7Wv2EcR_XRCsanQQLo,"['gas_station', 'atm', 'car_wash', 'cafe', 'finance', 'food', 'point_of_interest', 'establishment']",2.6,63,"295-313 Bexley Road, Erith","51.4549, 0.1505",51.47278499999999,0.1625922
Costa Coffee,"51.45598, 0.145861",ChIJNfJno16u2EcRJjvruvEL094,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.0,456,"Broadway Shopping Centre, Central Square, Bexleyheath","51.4549, 0.1505",51.45598,0.145861
Asda Living Dartford,"51.44789999999999, 0.21552",ChIJ9RXQG5Sx2EcRWTG7YWpWpYc,"['home_goods_store', 'cafe', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",4.2,1243,"Unit 4, Prospect Place, Dartford","51.4549, 0.1505",51.44789999999999,0.21552
Village Cafe,"51.44163959999999, 0.1500741",ChIJkwDoLWWu2EcR7ajmLxyDRzQ,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,115,"70 Bexley High Street, Bexley","51.4549, 0.1505",51.44163959999999,0.1500741
Munchies,"51.4735257, 0.162357",ChIJ6-KsMLWv2EcRGwmnwCigq8w,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.5,197,"228 Bexley Road, Erith","51.4549, 0.1505",51.4735257,0.162357
Kenny's Cafe,"51.453291, 0.176789",ChIJ-9mlxyKu2EcRVHxnICHG6GI,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,85,"74 Crayford High Street, Dartford","51.4549, 0.1505",51.453291,0.176789
Koffi Pot,"51.46250209999999, 0.108359",ChIJ04VP1dqu2EcRajwudSrobUY,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,190,"107 Welling High Street, Welling","51.4549, 0.1505",51.46250209999999,0.108359
Mooboo Bexleyheath,"51.4555653, 0.1474154",ChIJ69rfpV6u2EcReSrHDYdB3rI,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,71,"11, The Mall, Broadway Shopping Centre, Bexleyheath","51.4549, 0.1505",51.4555653,0.1474154
Caffè Nero,"51.4565659, 0.1441646",ChIJFaDu0F6u2EcRDnSTuG_K3VQ,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.3,347,"115 Broadway, Bexleyheath","51.4549, 0.1505",51.4565659,0.1441646
Creams Cafe Bexleyheath,"51.4568521, 0.1420772",ChIJO6w2Sl-u2EcRL44zoSzYINc,"['bakery', 'meal_takeaway', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.6,508,"143 Broadway, Bexleyheath","51.4549, 0.1505",51.4568521,0.1420772
Chinchins - Cafe Restaurant Bar,"51.4570398, 0.1407846",ChIJb8EVVV-u2EcRPOfev6EhciU,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.7,462,"171 Broadway, London, Bexleyheath","51.4549, 0.1505",51.4570398,0.1407846
Vintage Lindy Lou,"51.45218149999999, 0.1791639",ChIJzfaBhiKu2EcRkkbChv7B4iU,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,142,"The Willows, Waterside, Dartford","51.4549, 0.1505",51.45218149999999,0.1791639
Costa Coffee,"51.45104199999999, 0.180797",ChIJ__f-Uh-u2EcR-WcZuuKGAFE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.3,172,"Unit 3, Next, TOWER RETAIL PARK, Crayford Road, Dartford","51.4549, 0.1505",51.45104199999999,0.180797
Shell,"51.44774869999999, 0.1167906",ChIJFxTEAr6u2EcRXddnz0-kNG0,"['gas_station', 'convenience_store', 'car_wash', 'meal_delivery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,100,"510 Blackfen Road, Sidcup","51.4549, 0.1505",51.44774869999999,0.1167906
Luso Flavour Cafe & Deli,"51.4618917, 0.1132583",ChIJKXGZMMOu2EcRgfM51IDaxlg,"['cafe', 'food', 'point_of_interest', 'establishment']",4.8,172,"9 Welling High Street, Welling","51.4549, 0.1505",51.4618917,0.1132583
Costa Coffee,"51.46199, 0.11016",ChIJ3aoEt8Su2EcRaZU3vcOdrO0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,115,"28, Embassy Court, Welling","51.4549, 0.1505",51.46199,0.11016
Cafe Deluxe,"51.4627016, 0.107036",ChIJoxv-tdqu2EcRAzVx5TEg1tU,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,199,"6 Bellegrove Road, Welling","51.4549, 0.1505",51.4627016,0.107036
Costa Coffee,"51.4503902, 0.1034904",ChIJb90Tubeu2EcRYIMvHOeDJdc,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,212,"19 Blackfen Road, Sidcup","51.4549, 0.1505",51.4503902,0.1034904
Costa Coffee,"51.480319, 0.1805111",ChIJSW9qE7iv2EcR0P5LDTdT3EM,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.3,309,"Unit 6, Riverside Shopping Centre, 21A Town Square, Erith","51.4549, 0.1505",51.480319,0.1805111
Cafe Concerto Ltd,"51.433904, 0.104067",ChIJG4Fz7qiu2EcRMJg2HFHaJKI,"['cafe', 'food', 'point_of_interest', 'establishment']",3.8,19,"Sidcup Railway Station, Sidcup","51.4549, 0.1505",51.433904,0.104067
Ace Cafe London,"51.5413119, -0.277825",ChIJP1sJ24sRdkgRub025F6UBxU,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,5503,"Ace Corner, North Circular Road, London","51.5588, -0.2817",51.5413119,-0.277825
Abbey Point Hotel,"51.5349659, -0.2754636",ChIJvdO_R_MRdkgRztxcqEwrrtQ,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']",4.3,400,"300-302 Twyford Abbey Road, London","51.5588, -0.2817",51.5349659,-0.2754636
Asda Park Royal Superstore,"51.52781, -0.2698899999999999",ChIJb_iYL-4RdkgRfILoKI4ebYM,"['supermarket', 'atm', 'gas_station', 'cafe', 'pharmacy', 'clothing_store', 'grocery_or_supermarket', 'finance', 'food', 'store', 'health', 'point_of_interest', 'establishment']",3.5,1045,"2-20 Western Road, London","51.5588, -0.2817",51.52781,-0.2698899999999999
Asda Wembley Superstore,"51.56479119999999, -0.2755593",ChIJRRYSm3oRdkgRS-5hMF5b8Ew,"['supermarket', 'atm', 'gas_station', 'cafe', 'pharmacy', 'clothing_store', 'grocery_or_supermarket', 'finance', 'food', 'store', 'health', 'point_of_interest', 'establishment']",3.7,1205,"Forty Lane, Wembley","51.5588, -0.2817",51.56479119999999,-0.2755593
Caffè Nero,"51.5811242, -0.3352072",ChIJBWXObnQTdkgRsYxXc4yemBQ,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.2,468,"27 St Anns Road, Harrow","51.5588, -0.2817",51.5811242,-0.3352072
Patisserie Patchi,"51.5326775, -0.2750395",ChIJg4wor8IRdkgRgAwqnD6Ri8g,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.1,2728,"28 Abbey Road, London","51.5588, -0.2817",51.5326775,-0.2750395
Amouage Lounge,"51.5532854, -0.2110543",ChIJmQH8mWAQdkgRJ0HPM_T9Q6E,"['cafe', 'bakery', 'night_club', 'bar', 'food', 'store', 'point_of_interest', 'establishment']",3.9,152,"32-34 Cricklewood Broadway, London","51.5588, -0.2817",51.5532854,-0.2110543
New Atlas Cafe,"51.53942640000001, -0.2527655999999999",ChIJ8W0wI7kRdkgRW6-1ys1qqyk,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.7,115,"New, Atlas Cafe, 69-71 Craven Park Road, London","51.5588, -0.2817",51.53942640000001,-0.2527655999999999
Norman’s Cafe,"51.5830734, -0.2633904",ChIJpx1MM0ERdkgRcu4svZ7f78Q,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,62,"263 Hool Close, London","51.5588, -0.2817",51.5830734,-0.2633904
Workmans Cafe London,"51.5492159, -0.2421223",ChIJnXFthq4RdkgRl3ZrMaca4iM,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,109,"368 High Road, London","51.5588, -0.2817",51.5492159,-0.2421223
Starbucks Coffee,"51.5587657, -0.2819752",ChIJ9zXBzn8RdkgRY_Q5iQzWOVo,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3.9,444,"Engineers Way, Wembley","51.5588, -0.2817",51.5587657,-0.2819752
Treatz Dessert Parlour Wembley,"51.557095, -0.2826485",ChIJEW0d_H8RdkgR5DV-jXPeitQ,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.0,582,"Designer Outlet, Unit 5a London, Wembley Park Boulevard, Wembley","51.5588, -0.2817",51.557095,-0.2826485
Chaboba,"51.5574209, -0.2842227000000001",ChIJS2ixB4ARdkgRU_EEtQRK1fc,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,341,"20 Wembley Park Boulevard, London","51.5588, -0.2817",51.5574209,-0.2842227000000001
Costa Coffee,"51.55669, -0.28339",ChIJ-aPOTu8TdkgRRsfsbQRa5GQ,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.2,769,"Unit 49, London Designer Outlet, Wembley Park Boulevard, Wembley","51.5588, -0.2817",51.55669,-0.28339
Costa Coffee,"51.561082, -0.2791689999999999",ChIJJdEFiX4RdkgRisKEG44Brw8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.2,316,"7 Olympic Way, Wembley, London","51.5588, -0.2817",51.561082,-0.2791689999999999
Costa Coffee,"51.564592, -0.277879",ChIJz-xQYnwRdkgRcflYuM4YWR8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,350,"19 Bridge Road, Wembley Park, Wembley","51.5588, -0.2817",51.564592,-0.277879
CerbulRomanesc.uk,"51.5537699, -0.2912632",ChIJZzOoViwSdkgRwI0UQatC9sc,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,600,"414 High Road, Wembley","51.5588, -0.2817",51.5537699,-0.2912632
Creams Cafe Wembley,"51.55224049999999, -0.2965288",ChIJcaIBFDISdkgRwpmRMqfir3g,"['bakery', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3.8,714,"Central Shopping Centre, 455 High Road, Wembley","51.5588, -0.2817",51.55224049999999,-0.2965288
Wild Bean Cafe,"51.5650114, -0.2644175",ChIJncfnq3MRdkgROyzxU5tCxWM,"['cafe', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']",1.0,1,"2 Blackbird Hill, Wembley","51.5588, -0.2817",51.5650114,-0.2644175
bp,"51.56491, -0.26427",ChIJ8_I5MnIRdkgRCzzpYBTsnaM,"['gas_station', 'atm', 'convenience_store', 'cafe', 'car_wash', 'finance', 'food', 'store', 'point_of_interest', 'establishment']",2.9,32,"2 Blackbird Hill, Wembley","51.5588, -0.2817",51.56491,-0.26427
Costa Coffee,"51.405825, 0.015281",ChIJET4kMWyq2EcRe-MuXqNyeaA,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,749,"33-34 Market Square, Bromley","51.4039, 0.0198",51.405825,0.015281
Costa Coffee,"51.40685, -0.0282",ChIJ4cJqjr4BdkgRzVNA5O4EB8A,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,357,"194-202 High Street, Beckenham","51.4039, 0.0198",51.40685,-0.0282
Caffè Nero,"51.4179858, 0.0679893",ChIJ6QmB98Kr2EcRQcXkoK5_uVo,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.4,231,"12 High Street, Chislehurst","51.4039, 0.0198",51.4179858,0.0679893
Costa Coffee,"51.376243, 0.011273",ChIJMxXjgpqq2EcR1csDbb6Sxks,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,260,"51 Station Approach, Hayes, Bromley","51.4039, 0.0198",51.376243,0.011273
Costa Coffee,"51.4037, 0.016433",ChIJo82pu26q2EcRHSaUKj5E8qg,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.9,456,"Unit 28, The Glades Shopping Centre, Bromley","51.4039, 0.0198",51.4037,0.016433
Krispy Kreme Bromley,"51.40510380000001, 0.0164632",ChIJo82pu26q2EcR32KCcRr0WJQ,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,75,"Kiosk 98 The Glades Shopping Centre, Bromley","51.4039, 0.0198",51.40510380000001,0.0164632
Rendezvous Caffe,"51.4080039, -0.0255196",ChIJ1R_1ub8BdkgRgOoP_wAKkjE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,403,"94 High Street, Beckenham","51.4039, 0.0198",51.4080039,-0.0255196
Cafe Giardino - Bromley,"51.4043845, 0.0168914",ChIJ77GFz26q2EcRn5_Ntm6w0kE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,875,"High Street, Bromley","51.4039, 0.0198",51.4043845,0.0168914
Creams Cafe Bromley,"51.4025676, 0.0164888",ChIJ0Rtp3G6q2EcRVbMX16QCIWs,"['meal_takeaway', 'bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,689,"12 Elmfield Road, Bromley","51.4039, 0.0198",51.4025676,0.0164888
Caffè Nero,"51.4027547, 0.0156025",ChIJ34AlmW6q2EcRe1oqMkqZ770,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.0,742,"The Glades Shopping Centre, High Street, Bromley","51.4039, 0.0198",51.4027547,0.0156025
Unico Gelato & Caffé,"51.40229420000001, 0.0158968",ChIJ80IP4W6q2EcRH9ykXgBVY6Y,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,633,"75 High Street, Bromley","51.4039, 0.0198",51.40229420000001,0.0158968
Pret a Manger,"51.4028644, 0.0150561",ChIJ06eD9zSr2EcRJAXbCwF6Ots,"['bakery', 'cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,283,"86 High Street, Bromley","51.4039, 0.0198",51.4028644,0.0150561
Stonehenge Cafe,"51.4053949, 0.0149449",ChIJ62Wp022q2EcRWp_cwGeEByA,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,311,"161 High Street, Bromley","51.4039, 0.0198",51.4053949,0.0149449
Caffè Nero,"51.4000539, 0.0168009",ChIJPwEFUG-q2EcRJxK_c83Bfqg,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,262,"12-14 High Street, Bromley","51.4039, 0.0198",51.4000539,0.0168009
Wild Bean Cafe,"51.40689620000001, 0.0284365",ChIJKb4HxUaq2EcR9l9n8jCK5oU,"['cafe', 'convenience_store', 'store', 'food', 'point_of_interest', 'establishment']",,0,"133-135 Widmore Road, Bromley","51.4039, 0.0198",51.40689620000001,0.0284365
Chaplin’s Café,"51.406282, 0.03289",ChIJJ79LQ0aq2EcRqspvnrJ0gGM,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,64,"171 Widmore Road, Bromley","51.4039, 0.0198",51.406282,0.03289
Twins Cafe Bromley,"51.39197739999999, 0.03589150000000001",ChIJfWvicFeq2EcRzHjjR0nPMH4,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,130,"48 Chatterton Road, Bromley","51.4039, 0.0198",51.39197739999999,0.0358915
Costa Coffee,"51.392181, 0.001099",ChIJ_7roc3-q2EcRo1l3FP8FaAs,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,191,"147-151 Westmoreland Road, Bromley","51.4039, 0.0198",51.392181,0.001099
Shell,"51.4183057, 0.001848",ChIJc-RXTgiq2EcRIEWD-6U8F68,"['gas_station', 'convenience_store', 'meal_delivery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,90,"96A Bromley Hill, Bromley","51.4039, 0.0198",51.4183057,0.001848
Ted's Coffee Shop,"51.3900669, 0.050858",ChIJ9Zf_aqqr2EcRnHgBwaTl3ls,"['cafe', 'food', 'point_of_interest', 'establishment']",4.9,64,"227 Southborough Lane, Bromley","51.4039, 0.0198",51.3900669,0.050858
Generator London,"51.52620449999999, -0.124825",ChIJM4cpDTobdkgRx8LDQJ76Yu8,"['cafe', 'bar', 'lodging', 'point_of_interest', 'food', 'establishment']",3.7,4373,"37 Tavistock Place, London","51.529, -0.1255",51.52620449999999,-0.124825
The Wesley,"51.5266402, -0.135689",ChIJSXkoEyYbdkgRpmQAturmT2k,"['cafe', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",3.9,1567,"81-103 Euston Street, London","51.529, -0.1255",51.5266402,-0.135689
